"sentiment","hate_speech","language","content"
"pos","none","german","Hallo, auf dieses Video hab ich gewartet :D"
"neg","off","english","Amber is a Nazi who promotes fascism. That&#39;s great you&#39;re a fan!"
"pos","none","german","oha ? Was zum teufel ? wie dope ist das denn ?!"
"neu","none","english","May I use this track on my site.  I would be playing Boogie Woogie  with  a Native American Flute  on top of your  music and then I will  have lessons on the music I play. I will give you the credit for the music and post the URL so people can hear your music."
"pos","none","german","liebe es :)"
"neg","off","english","You have been saying RIP bro since I met you 😂😂 

P.S you are still my bitch 😌"
"neu","none","german","@Manga World by marron1991 <br>Kannst mir da schon  was empfehlen <br>Zum Runter Fahren am Abend würde ich dir ist aber kein Manga die Schlümpfe Empfehlen die Storys sind so verfasst dass es auch für dein Alter geeignet ist"
"neg","none","german","Erinnerung: Zerstörung von Stadtbaukunst und Wohnkultur durch eine überflüssige, unwirtschaftliche verlärmende Trassenverlegung  durch ein Wohngebiet. Der Rondellplatz wurde zu einem beampelten doppelten Bahnübergang deformiert."
"neu","none","german","Muss"
"neg","hate","german","Mich stört dieses gendergeschwurble nur weil es genutzt wird um das Ansehen von irgenwem zu steigern (Firmen) oder dass Leute sich in den sozialen medien sich ja asl ach so tollerant hinstellen können. Es wurde schlicht zum Instrument für Darstellung.
Und wenn man dann in irgendwelchen Singlebörsen Profile sieht wo nur Gendergeschwurble oder Sexualitäts-Schwachsinn drin steht... Also mal im Ernst. Das geht die öffentlichkeit nichts an und ist auch scheißegal. Dass macht keinen aus. Weiß eigentlich jeder aber es wird mitgemacht weil man ja sonst nicht wargenommen wird. Dabei steht man da doch auf sehr dünnem Eis.

Und das sehen sogar meine Freunde so die Gay oder TG sind.
Dass ist das erschreckende an der Geschichte."
"neg","off","german","Welcher Penner hat mit den geklaut? 😡"
"neu","none","german","Ich habe früher auch bei diversen Onlineshops Schnecken bestellt und auch über private Anzeigen und.bei Kleinanzeigen /Facebook  als ich noch bei Facebook war).  Über Facebook Gruppen hab ich die besten Erfahrungen gemacht,die Leute dort zumindest die bekannten in der \"Schneckenszene\" liefern gesunde Tiere ohne Planarien, ohne Gehäuseschäden und verpacken auch anständig und verschicken auch bei kälteren Temperaturen nicht. Es gibt noch immer Onlineshops die nicht wirklich gut verpackt verschicken. Planarien habe ich noch nie gehabt, aber auch schon oft gehört das andere sich welche eingefangen haben. Ich würde bei Schnecken bzw generell immer lieber dort kaufen wo ich gute Erfahrungen gemacht habe oder andere viele gute Bewertungen abgegeben haben. Ich mag keine Namen nennen aber ich habe auch schon Schnecken aus Shops bekommen wo die Gehäuse durch den Versand beschädigt wurden,tote Tiere ankamen, Tiere deshalb kurz drauf tot waren.  Das ist glaube ich ehr wahrscheinlich als Planarien zu bekommen. Am besten sind wirklich die Tiere von privaten Leuten verpackt, zumindest von denen die vernünftig mit ihren Tieren umgehen und gesund sind die auch. Also frei von Planarien und anderen Ungeziefer,es gibt ja auch nicht nur Planarien sondern alles mögliche was Schnecken befallen kann."
"pos","none","german","so ähnlich wie beim Orginalen Xenon Scheinwerfer von VW hätte das Lichtbild werden können...  aber nein Osram muss ein Draufhauen und dass Lichtbdild so machen dass der ganze Wald rechts ausgeleuchtet ist.  :D"
"neg","hate","english","@Fake and Gay what nigga"
"pos","none","german","Mega geil,weiter so💯"
"pos","none","german","+Maik Mohr danke ☺"
"neg","none","german","? Warum asozial bin social"
"neg","none","german","Robert spricht dass aus was viele wissen oder vermuten..Wir werden augenutzt,ausgebeutet, und unmündig gemacht..Wir sollen funktionieren und die Fresse halten,,Ich könnte den gleichen Vortrag halten mit anderen Worten aber der gleiche Inhalt.Ab Kindergarten werden wir zur Arbeitsmachine und  zum Systemdiener ausgebildet!!!!"
"neu","none","english","I know, I barely post things, love~"
"pos","none","german","Eine schwarze Schönheit bei der Arbeit, absolut klasse in Scene gesetzt mit einen tollen Sound.
Immer wieder gerne mehr davon.
Beste Grüße Gerd"
"neu","none","german","@@MantelonChannel Platz 10:Peast in West aus Staffel 5.<br>Platz 9 :Freund oder Verräter aus Staffel 5 .<br>Platz 8:Heut ist der aller schönste Tag aus Staffel 4.<br>Platz 7:Dem Hotelier ist nichts zu schwer aus Staffel 4.<br>Platz 6:Besuch vom Gesundheitsamt aus Staffel 3.<br>Platz 5:Just on bitte aus Staffel 3.<br>Platz 4:Haben sie diese Schnecke gesehen aus Staffel 4 .<br>Platz 3:Die allererster Folge und F.U.N aus Staffel 1<br>Platz2 :Das Tentakelparadis aus Staffel 2 <br>Platz 1:Hör mal wer da spielt aus Staffel 2."
"pos","none","german","@rudigermany ja. So siehts aus. Toller Kanal 👍"
"neu","none","english","3:46 He is going slowly to charge up the battery using the MGU-K."
"neu","none","german","spannend. Als Schalkefan spiele ich ja auch mit Schalke, aber versuche eine andere Taktik. Im 433 stehen Mohr und Mollet auf außen. Leider bringe ich Terodde in den Testspielen noch nicht zum Laufen. Polter habe ich aussortiert und versuche ihn zu verkaufen. Fährmann bekomme ich auch nicht verkauft. RAV sind sowohl Brunner als auch Aydin schnell, aber haben Flanken leider nur auf 12, aber daran kann man ja arbeiten."
"neu","none","german","Ey luhu"
"pos","none","german","Sehr schön! Auch das Video 😊👍"
"pos","none","english","I like this cage.❤"
"neg","off","german","FlooTastisch bitte entbann mich würde von dir wegen Konstruktive Kritik gebannt. Habe geschrieben &#39;&#39;Als TTT angefangen hat&#39;&#39; :,,Lieber Flootastisch ich finde es kacke das ich nicht in TTT reinkomme.(OHNE RANG) dann habe ich etwas gespammt und wurde permanent für EXTREM gebannt ich finde das schon Belastend da es ziemlich ungerecht ist. Also bitte entban mich doch mal! Bitte ich habe deine Videos geliebt aber jetzt da ich das gefühl habe du bist Asozial. Bitte Beweise mir das Gegenteil :d. Dann kann ich endlich mal wieder Auf <a href=\"http://ms.net/\">MS.net</a> spielen da ich such locker 1std geweint habe da ich den Server geliebt habe. LG PixelPig : INGAME : PiganaTwo - FRÜHER CraftPigHD"
"neg","off","english","Great trance...the freemasons arnt satanic you fool"
"neg","off","german","Du bist erbärmlich"
"neg","off","english","\"Who's laughing now, FAT MAN?!??\" "
"pos","none","english","🏝️🏝️🏝️ shoutout to claudio and fausto"
"pos","none","german","Sau funny :D. Und gut geschnitten <3!"
"pos","none","english","I love this!!"
"neg","off","english","retards gonna be retards"
"neu","off","german","Koa Nazi Gold gefunden???"
"pos","none","german","Wow, so.... erfrischend deine Beschreibungen zu diesem Orakel :):):)Ja ein feuriger Araber das ist er nicht aber ein lieber \"Ochs! Klasse , wie immer deine Orakel, herzlichen Dank"
"neu","none","german","Voltage Fireworker das bekommen wir leider nicht hin, da wir fast ununterbrochen draußen stehen und das Feuerwerk vorbereiteten, da bleibt für Videobearbeitung keine Zeit."
"neu","none","german","1 chef"
"pos","none","german","liebe diesen Song <3"
"neg","off","german","Super Einhorn review sag mal bist du schwul?"
"pos","none","german","Prof. Varwick ist die einzige Person in dieser Runde mit klarem Verstand."
"neg","none","german","Bitte hört damit auf unser Steuergeld für diese lächerliche Propaganda zu verschwenden und tut einfach konsequent euern Job"
"pos","none","english","This part is awesome! Studio subbed ;)
Yay for Kise. *-* I wonder when the second KnB season starts :o 
"
"pos","none","german","Wild mega. 👍🔥🔥 aber geht nichts über dein Poseidon Beat 😍."
"neu","none","german","Warum nicht GmbH?"
"pos","none","german","empalogics - Psychologie einfach erklärt Schön zu hören, finde die Art wie du deine Inhalte vermittelst äusserst interessant"
"pos","none","german","Danke dir :) freut mich das es dir gefällt"
"pos","none","german","Ich habe einmal Pokemon Feuergün Lets playt damit bin ich gerade fertig und jettzt mache ich Minecraft (das interessiert dich bestimmt nicht so sher) aber Mafia 2 mach ich momentan auch noch ich denke das könnte dich interessiern un dfalls dich gar nichts momentan interessiert kannst du mir gerne auch ein Spiel vorschlagen, welches ich mir dann vielleicht nach Mafia 2 vornehmen werde :D"
"neg","none","german","Was haltet ihr davon wenn diese Typen einen Film mit Mario Xavier machen? Die müssten sich nur einen Twitter acc erstellen und einen Terroristen als Profilbild nehmen und Mario Xavier mit schlechtem Englisch eine Nachricht schreiben.
Ganz einfach"
"pos","none","german","Ja! Support the Autokinos! :D<br>(aber nur die echten!)<br><br>Gerne ;)"
"neg","none","german","Spar Dir deine Energie für dich selbst. Das Leben ist nun mal tödlich oder wo glaubst Du dich zu befinden? Ich denke mal eher, dass Du zu den Menschen zählst, die jedes Risiko vermeiden, keine Grenzen ausloten, weil sie viel zu viel Angst haben und stets bedacht sind, den Luftwiederstand stets klein zu halten und wenn Du mal in eine brenzlige Situation kommst, gelähmt bist wie das Opfer einer Schlange. Es sterben schon Menschen d. Genickbruch beim stolpern. Du kannst Dich selbst bemitleiden."
"neu","none","german","WakeStyle Xx du bist halt echt... solche Menschen wie du sind einfach  nur falsch im Kopf und haben was gegen Leute die ihnen nichts getan haben. Du hasst ihn jetzt nur weil er vielleicht kein Christ ist oder weil er Türke ist... ich möchte auch nicht dass irgendwelche Typen nach Deutschland kommen und dann irgend eine scheiße machen aber wenn sie einfach ein neues Leben beginnen möchten, habe ich nichts dagegen aber du .. das ist einfach nur traurig."
"pos","none","german","Danke dir, Pepper gehts gut und ich freu mich das dir mein Schnitt aufgefallen ist 😊"
"pos","none","german","Ich war jetzt das 4.Jahr in Folge  auf nem Roadtrip in Kroatien/Bosnien und jedes Jahr hab ich erneut wieder viele Ziele auf meinem Plan stehen.😀...Ist echt Wahnsinn was man dort alles entdecken kann"
"neu","none","english","virgin &quot;explains in hours why TLOU2 is bad&quot; vs &quot;explains the only important issue in three minutes&quot; chad"
"pos","none","german","CMD SA69 ein recht altes aber danke fürs Lob🙏"
"pos","none","english","Always enjoy watching your unicycle touring videos. Thanks. Make me want to go and cycle the route."
"neg","off","german","Wilde Kerle sind Gay af"
"neg","none","german","Jetzt aber mal langsam. Das ist das erste (und wahrscheinlich einzige Mal), dass ich mich beklage, OMSI ist schon lange wieder von der Platte geflogen. Ich versteh die Leute ja, die sich ehrenamtlich für neuen Content einsetzen. Aber warum dann noch über dubiose Downloadseiten? Und warum lassen sie dann ihren Content derart verwahrlosen? Die vorherige Map auf der Lennart gefahren ist konnte man nicht mal mehr starten, da fast die Hälfte der benutzten Erweiterung einfach nicht mehr verfügbar ist.... Da werden keine Links aktualisiert, aber Hauptsache sich wegen Urheberrecht wichtig machen? Erbärmlich."
"neg","off","german","Du Idiot"
"neu","none","german","@Regal Erwin Schlafmütze naive ."
"pos","none","german","Hi Andy, den \"Pokal\" zum Schluss hättest du jetzt von mir bekommen. Ich denke, ich kenne alle deutschen Videos zu Fusion360, aber du katapultierst dich an die Spitze. Ich bin fortgeschrittener Einsteiger bei Fusion360 nach dem zweifelsfrei sehr guten TinkerCAD und tue mich etwas schwer mit der Konstruktion bei F360. Die CAD Menschen waren und sind schon ein spezielles Volk ;) Es wird bei mir aber besser. Du hast es geschafft Basics zu vermitteln, die nicht nur nacheinander zu erlernen sind, sondern für den Gebrauch zur eigenen Konstruktion hilfreich sind.
Zum Video: Ich finde es sehr sympathisch, dass du dich immer wieder selbst mit ins Bild bringst und bei Bedarf ins Detail zoomst. Lob auch für den systematischen Aufbau ohne den Bezug zur Brauchbarkeit für den Benutzer zu verlieren. Ich warte gespannt auf die nächste Session wie die Nerds auf die nächste Folge von \"Game of Throns\". Danke dir."
"neu","none","german","OOOO  MILKI  DIE   ARME 😇"
"pos","none","german","Hallo ihr Beiden,
trotz der Glocke irgendwie verpeilt... Aber ihr wisst nicht was auf dem Weg noch so kommt? Das geht ja gar nicht. ;-) Kann euch beruhigen mir geht es nicht anders. Sarah sucht sich den Weg aus und das Einzigste was ich weis, ist der Start- sowie Zielpunkt. ;-) Wieder ein tolles Video gemacht, sehr schöne Landschaft, sehr idyllisch, das kann man haben. Freuen uns schon auf die Fortsetzung. Liebe Grüße aus dem Saarland, Sarah und Marco"
"pos","none","english","Cool"
"pos","none","german","Vielen Dank! 😊"
"pos","none","english","Elsa goes goth and i like it"
"pos","none","german","@Leo&#39;s World Blog ich sage ja nur u.40😂<br>Ps:ich bin pauline🙋‍♀️"
"neu","none","german","Oh ich schwöreee auf meine Mutterrrrrrr"
"pos","none","german","Super interessantes Video! 

der schwarze Thron - die schwestern habe ich gestern beendet. es ist meiner Meinung nach ein klassischer Einführungsband. so düster wie es hieß ist er nicht. nichtsdestotrotz ist die Geschichte wirklich interessant und ich bin froh, dass der zweite Band demnächst erscheint. denn der erste Teil hat absolut spannend geendet. 

bei Red rising verstehe ich dich vollkommen. Ich war erst etwas skeptisch der Geschichte gegenüber aber der erste Band hat mich vollkommen von sich überzeugt. die Charaktere und die Geschichte sind so toll und spannend."
"pos","none","german","Glätteisen bitte😂🙈🤪"
"neu","none","english","looks like a fat blackberry storm?"
"neg","off","german","Riesen gab es nicht nur in Amerika , auch die Asiatische Grossaffen , die keine Affen waren , sondern Menschen , da wird nur gelogen.
Man kann langsam sagen , das diese Wissenschaftler nicht alle Tassen im Schrank haben .
Die Zahl 666 ist die Zahl des Menschen.
Ein Teufel gibt es nicht , der wurde von der Kirche erfunden, es gibt nur Luzifer , der Lichtbringer , das erste Wesen aus dem Urgrund."
"pos","none","german","Klasse Video. 😁✨👍"
"pos","none","english","Thanks for watching and compliment🙏"
"neu","none","german","Wie man sieht, hat die hier gezeigte F-4F ja den ersten/alten Tarnanstrich - dazu gehörte ja auch die schwarze Nase..."
"neu","none","english","Is this scotland?"
"neu","none","english","EVERYONE CHECK MY SOUNDCLOUD HTTP://SOUNDCLOUD.COM/SODA-LITH"
"pos","none","german","3:36 uiiiii *-* ehre mc rocket league xD"
"neg","off","english","savage asf nigga but ur music taste is trash"
"neu","none","german","@Erwin Adelmann Das ist, was der Teufel, die Schlange, der Frau flüsterte: &quot;Ihr werdet sein wie Gott.&quot; Wohin das in letzter Konsequent führt, sehen wir an Dr. Hararis Statement."
"pos","none","german","Mensch, Patrick - Bombe!
Dass Du meine Kritik gleich soo ernst nimmst ... Aber schau Dir doch mal das Ergebnis an! Die siehen doch aus wie neu, oder?! Da macht das Arbeiten doch gleich doppelt so viel Spass! Das hast Du super gemacht, echt - und wird sicher noch den Einen oder Anderen dazu animieren auch mal ans \"arme Werkzeug\" zu denken, dass uns so viel hilft bei unserem Hobby! Und dabei ist es doch so einfach, selbst diese Gewaltaktion jetzt bei Deinen Spachteln (waren ja auch gleich 8 Stück!) die \"sicher 'n paar Minuten extra\" gedauert hat ....
Also Deine beiden Videos sind bestimmt für Modellbahner, und Modellbauer im allgemeinen, sicher ein ganz guter Überblick über das Zeugs das man so brauchen kann. Und trotzdem hat  sicher jeder, der sich das anschaut, *mindestens* noch ein \"Spezial-Werkzeug\" welches er sich niemals wegdenken wollte  😂
Patrick, viele Grüße und nochmals Danke für diese schöne Veranschaulichung!

            Beste     Grüße     aus
            dem Salzburger Land

                       Stephan
             *Der-Küste-N-Bahner*

👉 “ *Möge die Bahn mit Dir fahren!* ” 😎"
