"german","english"
"gesetzwidrig","differently-abled"
"gesindel","dimwit"
"gleichgeschaltet","dim-witted"
"götzenbild","disability"
"große austausch","ditzy"
"gruppenvergewaltigung","droptheb"
"gut mensch","dropthel"
"gutmensch","dropthet"
"habsüchtig","dupe"
"halbblut","dwarf"
"halbsabschneider","dyke"
"halsabschneiden","erasing women"
"handlanger","erode women"
"harzen","fag"
"hässlich","fag hag"
"hässlicher vogel","faggot"
"hässliches kind","fat"
"hetzmedien","fathead"
"heuchlerisch","fatty"
"hinterlistig","febfem"
"homegrown-terrorismus","female sex workers"
"homo","feminazi"
"homoerotik","flatearth"
"homoerotisch","flea-ridden"
"homoerotischen","floosie"
"homolateral","floosy"
"homophile","floozie"
"homosexualismus","floozy"
"homosexuell","freeloader"
"homosexuelle","freeloaders"
"homosexuellen männern","freemasons"
"homosexueller","fuckhead"
"hure","fuckup"
"huren","fudgepacker"
"hurensohn","fundamentalist"
"hurerei","gang rape"
"hypersexuelle","gang raped"
"ideologieanhänger","gay"
"incel","gender fandom"
"israelitischen","gender ideology"
"isrealitische","gender theory"
"japse","genderfree"
"jehudim","genderist"
"jesuit","genderspecial"
"jude","genderwoowoo"
"judensau","gimpy"
"judenschwein","gipsy"
"jüdin","goon"
"jüdisch","goth"
"jüdischen","grande horizontale"
"jugendbanden","great replacement"
"kameltreiber","gringo"
"kanacke","groid"
"kanacker","gypsy"
"kanake","h0m0"
"kanakin","h0mo"
"kanalratte","half breed"
"kanalratten","half breeds"
"kapitalverbrechen","half cast"
"kernkriminell","halfbreed"
"kidnapper","half-breed"
"kidnapping","halfbreeds"
"kindermörder","half-breeds"
"kinderraub","halfcast"
"kinderschänder","half-cast"
"kindesentführung","half-caste"
"kindesmord","half-wit"
"kindsmörder","hamas"
"kindstötung","handicapable"
"klassenneid","handycapped"
"kleinkriminell","heeb"
"klimakleber","hobo"
"korrupt","hobos"
"kretinismus","hoe"
"kriegsgericht","hom0"
"kriegsverbrechen","homegrown terrorism"
"kriegsverbrecher","homeless"
"kriminalität","homelessness"
"kriminalitättsbekämpfung","homosexuals"
"kriminell","honky"
"kriminelle","hooker"
"krimineller","hookers"
"krüppel","hooking"
"kümmeltürke","hymie"
"landsmann","i stand with rowling"
"linker mob","idiot"
"linker terror","idiotic"
"links-grün versifft","idiots"
"linksterrorismus","wokeness"
"luder","illiterate"
"luegenpresse","ill-shapen"
"lügenpresse","imbecile"
"machtmissbrauch","imbeciles"
"mafia","imbecility"
"mafia-boss","infantile"
"mafiosi","infowars"
"massenkriminalität","islamist"
"memme","israelite"
"metöke","jew"
"militärfaschismus","jewboy"
"minderbegabung","jewdaism"
"mischling","jewes"
"mischlinge","jewess"
"mischlingskind","jewesses"
"mischlingskinder","jewishm"
"missbrauch","jewism"
"missgeburt","jewity"
"missgestaltet","jewry"
"misshandlung","jews"
"misshandlungen","jews'"
"mohr","jigaboo"
"mongole","jkrladies"
"mongolide","jkrladieslunch"
"mongolin","juadaism"
"mongolischen","juadism"
"möse","judaic"
"mulatte","judaical"
"mulatten","judaically"
"mulattin","judaisam"
"mullate","judaisem"
"nafri","judaist"
"nazi","judaistic"
"neger","judaists"
"negerin","judaity"
"negerkuss","judasim"
"negermusik","juddaism"
"negride","juden"
"negroide","judeo"
"neonatizid","judiasm"
"netzbeschmutzer","judism"
"nicht legal","juifs"
"niggardness","juive"
"nigguh","juives"
"nordarfrikanischer straftäter","kaffir"
"ns-regime","kike"
"nutte","woke police"
"obdachlose","kweer"
"obdachloser","l3i+ch"
"ölauge","l3itch"
"parasit","lesbian erasure"
"parasitär","lesbo"
"parasitäre","lesbophobia"
"parasiten","lgbwithoutthet"
"parasitieren","libtard"
"parasitismus","lock her up"
"paria","loose woman"
"parias","lower intelligence"
"penner","mammafucker"
"pöbel","man-whore"
"polake","man-whores"
"polaken","mazafaka"
"polakin","mental deficiency"
"prolet","mentally challenged"
"propaganda","mentally deficient"
"propagandist","mentally-challenged"
"prostituieren","merf"
"prostituierte","mf'er"
"prostituierten","midget"
"prostituierter","mistress"
"q33ny","mixed origin"
"rasse","mongloid"
"rechtsbrecher","mongloids"
"rendezvous-vergewaltigung","mongol"
"rothschilds","mongolchuud"
"schändlich","mongolic peoples"
"schändung","mongolid"
"schattenwirtschaft","mongolids"
"scheinheilig","mongoloid"
"scheinheiligkeit","mongoloids"
"schlafschafe","mongols"
"schlampe","mongool"
"schlitzauge","moron"
"schlitzaugen","moronic"
"schlitzäugig","moronism"
"schmarotzer","moronity"
"schmarotzertum","mothafucka"
"schuft","mother fucka"
"schwachkopf","mother fucker"
"schwachmat","motherfather"
"schwachsinniger","motherfuck"
"schwanzlutscher","motherfucka"
"schwanzlutzschen","motherfucker"
"schwarze","mother-fucker"
"schwarzer","motherfuckers"
"schwarzer mann","motherfucking"
"schwarzkopf","mutha fucka"
"schwarzköpfe","muthafucka"
"schwerstverbrechen","muthafucker"
"schwerverbrechen","mutterficker"
"schwerverbrecher","muzzie"
"schwindler","native american"
"schwindlerin","negress"
"schwuchtel","negrid"
"schwul","negrids"
"schwule","negro"
"schwulenstrich","negro-african"
"schwuler","negro-africans"
"scum bag","negroe"
"serienvergewaltiger","negroes"
"sexgangster","negroid"
"sexualstraftäter","negroids"
"sexualverbrechen","ni66a"
"sexualverbrecher","niga"
"sexuell missbrauchen","nigga"
"sexuelle vergehen","niggah"
"sexuellen belästigung","niggar"
"sinti","niggas"
"sippe","niggaz"
"sippschaft","nigger"
"sittenlehre","nigger-lover"
"sozialneid","niggers"
"sozialparasit","niggish"
"sozialschmarotzer","niggiz"
"spast","niggre"
"spasti","nigra"
"stacy","nikker"
"stammesgesellschaften","oberliterating"
"stammland","obliterate"
"stasi","oldest profession"
"stasi maßnahmen","one-eyed"
"stasi methoden","other races"
"statutory rape","oy vey"
"straffälliger","p*les+in1ans."
"straftäter","paki"
"straßengangs","patsy"
"straßenhure","physically challenged"
"straßenkriminalität","pikey"
"straßennutte","pikie"
"strichjunge","prositution"
"strichmädchen","prostitude"
"sündenbock","prostitute"
"terror von links","prostitutes"
"terrorakt","prostitution"
"terrorangriff","pussy"
"terroranschlag","quean"
"terrorismus","queans"
"terrorist","quesadilla test"
"terroristen","rabble"
"terroristin","rape"
"terroristisch","rentboy"
"terroristischer anschlag","rent-boy"
"terrorzelle","retard"
"teufel","retardation"
"teuflisch","retarded"
"todsünde","retards"
"totschlag","romani"
"tötungsdelikt","romanies"
"tötungsdelikte","romanis"
"tötungskriminalität","romany"
"transe","romastan"
"transvestismus","rommany"
"transvestit","rothschild"
"transvestiten","rrom"
"transvestitentum","rroma"
"transvestitin","schizo"
"transvestitismus","sex is real"
"travestie","sexnotgender"
"tunte","sharia"
"türke","shaven haven"
"türkin","sheeny"
"tussi","shemale"
"twink","shit-for-brains"
"überfremdung","shithead"
"ungebildete person","shylock"
"ungeziefer","shyster"
"unrechtsstaat","sick fucks"
"untermensch","sickfucks"
"usche","simpleton"
"vagina","sjw"
"verabscheuungswürdig","skank"
"verachtenswert","skell"
"verachtenswürdig","skells"
"verbrecher","slit"
"verbrecher regierung","slovenly woman"
"verbrecherregierung","slut"
"vergasen","slutiness"
"vergast","sluts"
"vergewaltiger","slutte"
"vergewaltigt","slutteries"
"vergewaltigung","sluttery"
"vergewaltigungen","sluttiness"
"verleumder","slutting"
"verleumderisch","sluttish"
"verleumderische","sluttishly"
"verräter","sluttishness"
"verräterin","sluttishnesses"
"verräterisch","slutty"
"verrätter","slutz"
"verrecken","society hostess"
"volk","sonamabitch"
"völkisch","sons of bitches"
"volksstamm","sonuvabitch"
"volksverfühhrung","sponger"
"volksverführer","spongers"
"völlkerschaft","street girl"
"votze","street walker"
"weibsbild","street walkers"
"weltjudentum","streetwalker"
"wichser","streetwalking"
"wirtschaftsflüchtling","subhuman"
"wirtschaftsflüchtlinge","subnormal"
"zecke","subnormality"
"zecken","sub-saharan africans"
"zicke","szgany"
"ziegenficker","tacohead"
"zigeuner","tard"
"zigeunerhauptmann","terfragette"
"zigeunerin","the goyim know"
"zigeunerpack","thug"
"zwitter","tmam"
NA,"torture"
